#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
MN844008.1	353	31	0.38659	8.538402366638184	1	0.00917829	noncoding
FJ874955.1	925	46	0.34173	4.180985450744628	1	0.0339964	noncoding
EU814691.1	986	46	0.38203	4.180985450744628	1	0.0484427	noncoding
MN481105.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
AF193976.1	1577	119	0.33725	9.213837623596191	1	0.262932	noncoding
EU814652.1	675	27	0.28236	11.165940284729004	1	0.0188509	noncoding
MN481103.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
AB331256.1	701	52	0.41134	11.841826820373537	1	0.0474544	noncoding
KX270946.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
EU814682.1	758	34	0.29626	4.784558677673339	1	0.0155803	noncoding
EU814673.1	365	19	0.33621999999999996	10.383809852600098	-1	0.16603	noncoding
FJ497035.1	259	52	0.41216	11.910679054260253	1	0.0468698	noncoding
DQ008931.1	939	46	0.34944000000000003	4.180985450744628	1	0.0354512	noncoding
FJ874957.1	925	46	0.34173	4.180985450744628	1	0.0339964	noncoding
FJ874997.1	778	46	0.34158	9.298935890197754	1	0.0178161	noncoding
MH069865.1	315	11	0.42512999999999995	4.0500284194946286	1	0.00818261	noncoding
GS927771.1	362	25	0.40940999999999994	11.602068901062015	1	0.0163295	noncoding
FJ874953.1	925	46	0.34173	4.180985450744628	1	0.0339964	noncoding
FJ874991.1	779	46	0.33786000000000005	9.298935890197754	1	0.0175477	noncoding
KX270941.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
DQ008942.1	795	21	0.30651	11.165940284729004	1	0.0132298	noncoding
HO002046.1	495	38	0.34742	10.834314918518068	1	0.0191586	noncoding
GQ247894.1	680	28	0.2545	9.524575233459473	1	0.0159881	noncoding
EU814676.1	360	14	0.36791999999999997	10.675916099548338	-1	0.142431	noncoding
MN481106.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
FJ874954.1	925	46	0.34173	4.180985450744628	1	0.0339964	noncoding
FJ874995.1	779	46	0.33786000000000005	9.298935890197754	1	0.0175477	noncoding
MN481087.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
FJ497029.1	272	2	0.40104	4.596478462219238	-1	0.00842907	noncoding
FJ497036.1	259	52	0.41216	11.999967765808105	1	0.0453374	noncoding
MN481102.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
FJ874974.1	305	13	0.31434	5.275022315979004	1	0.00336838	noncoding
FJ874973.1	304	13	0.37276	5.275022315979004	1	0.00318317	noncoding
FJ874992.1	778	46	0.34158	9.298935890197754	1	0.0178161	noncoding
AJ441159.1	980	46	0.36153	4.180985450744628	1	0.0389977	noncoding
DQ008923.1	938	46	0.35819	4.180985450744628	1	0.0378648	noncoding
DQ629345.1	2673	106	0.30794	10.346418190002439	1	0.119348	noncoding
KX270947.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
KX270948.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
MN481091.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
HO002044.1	250	32	0.40321999999999997	5.060170936584471	1	0.0147214	noncoding
HO002038.1	378	25	0.43852	8.36614284515381	1	0.0095643	noncoding
KX270945.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
FJ497034.1	258	57	0.37546	11.236404228210446	1	0.044625	noncoding
MN481095.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
MN481085.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
MN481099.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
FJ874952.1	925	46	0.34173	4.180985450744628	1	0.0339964	noncoding
KY537278.1	594	57	0.45772999999999997	6.514169120788575	-1	0.0261008	noncoding
DQ008932.1	934	46	0.36284000000000005	4.180985450744628	1	0.0394738	noncoding
FJ874996.1	778	46	0.34158	9.298935890197754	1	0.0178161	noncoding
DQ008947.1	804	21	0.27781	11.165940284729004	1	0.0176653	noncoding
MN481100.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
MN481096.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
MN481084.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
EU814694.1	872	46	0.3461	4.180985450744628	1	0.034743	noncoding
AF123828.1	503	40	0.42028	10.736709785461429	1	0.0346924	noncoding
JF708224.1	660	43	0.40481	6.790633964538574	1	0.0173565	noncoding
HO002037.1	307	71	0.43944999999999995	9.519095420837402	-1	0.0867482	noncoding
FJ874994.1	779	46	0.33786000000000005	9.298935890197754	1	0.0175477	noncoding
MN481083.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
EU814693.1	946	46	0.34944000000000003	4.180985450744628	1	0.0354512	noncoding
EU814675.1	448	25	0.31744	10.383809852600098	1	0.01127	noncoding
EU814683.1	764	34	0.29626	4.784558677673339	1	0.0155803	noncoding
